T24964;2022-07-01;15:15:19
Tarefas Código do Atendimento;Data Inicio Execucao Atividade Gerada Pelo Sistema;Hora Inicio Execucao Atividade Gerada Pelo Sistema;Hora Fim Execucao Atividade Gerada Pelo Sistema;Execução de Atendimentos GPS Coletado;Execução de Atendimentos Latitude;Execução de Atendimentos Longitude;Cliente GPS Coletado;Entregador Nome;Seção Descrição;Codigo_de_registro;Disciplina;CONCESSIONARIA__TRECHO;Concessionaria;Trecho;PISTA;SENTIDO_;km_000000_ou_000000_ao_000000;LOCAL;Coordenada_;ELEMENTO;DESCREVA_O_ELEMENTO;OCORRENCIA;OUTRAS_OCORRENCIAS;OBSERVACAO;AUDIO;RETORNO_A_OCORRENCIA;MES;A_OCORRENCIA_FOI_ATENDIDA_;Imagem_1;Imagem_2;Imagem_3;Imagem_4;Imagem_5;Imagem_6;Imagem_7;Imagem_8;Imagem_9;Imagem_10;Imagem_11;Imagem_12;ESTADO_GERAL;TEMPO_DE_FILA_APROXIMADO;Deseja_caracterizar_esse_registro_como_uma_ocorrencia_relevante;NOME_DA_OBRA;PERCENTUAL_MENSAL_DE_EXECUCAO_FISICA_;PERCENTUAL_ACUMULADO_DE_EXECUCAO_FISICA_;CUMPRIMENTO_DO_PLANO_DE_TRABALHO_ACEITO_PELA_ANTT;ATENDIMENTO_AO_PROJETO_EXECUTIVO_ACEITO_PELA_ANTT;ATENDIMENTO_AO_PER;SINALIZACAO_DE_OBRA;ATRASOS;OBRA_CONCLUIDA;COMPRIMENTO_APROXIMADO_DA_FILA_m;COORDENADA_FINAL
308107423;2022-05-13;09:45:35;09:50:30;-31.7684580700000012 -52.3682700399999987;-31.7684580700000012;-52.3682700399999987;0 0;500 - RS2;REGISTRO;308107423;DRENAGEM OAC;ECOSUL - BR-392  _  Rio Grande - Pelotas;ECOSUL;BR-392  _  Rio Grande - Pelotas;DUPLA;CRESCENTE;063+300;;-31.76844455,-52.36830338;BUEIRO;;Acúmulo de vegetação|Sujo|;;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=393435246&token=a3818507f114de11ee13fa0191d9e1e0;;;;;;;;;;;;REGULAR;;NÃO;;;;;;;;;;;-31.76845418,-52.36841158
308107424;2022-05-13;09:54:15;09:55:32;-31.7651069600000007 -52.3828096700000003;-31.7651069600000007;-52.3828096700000003;0 0;500 - RS2;REGISTRO;308107424;SINALIZAÇÃO;ECOSUL - BR-392  _  Rio Grande - Pelotas;ECOSUL;BR-392  _  Rio Grande - Pelotas;DUPLA;CRESCENTE;064+980;Lado direito;-31.7650776,-52.38313571;SINALIZAÇÃO VERTICAL - PLACAS;;Amassada|;;. LOCAL: Lado direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=393435478&token=a8c341ccfbc47d9fc0060379c031cffb;;;;;;;;;;;;REGULAR;;NÃO;;;;;;;;;;;-31.76508063,-52.38285748
308585492;2022-05-13;09:55:36;09:56:30;-31.7651000199999984 -52.3828561699999966;-31.7651000199999984;-52.3828561699999966;0 0;500 - RS2;REGISTRO;308585492;FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;ECOSUL - BR-392  _  Rio Grande - Pelotas;ECOSUL;BR-392  _  Rio Grande - Pelotas;DUPLA;CRESCENTE;064+980;;-31.76508063,-52.38285748;FAIXA DE DOMÍNIO;;Sujeira|;;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=393435724&token=97eee9e2d643810a935caaf5c40a415c;;;;;;;;;;;;REGULAR;;NÃO;;;;;;;;;;;-31.76510002,-52.38285617
308802919;2022-05-13;09:57:16;09:58:22;-31.7651213800000001 -52.3828474299999982;-31.7651213800000001;-52.3828474299999982;0 0;500 - RS2;REGISTRO;308107423;DRENAGEM OAC;ECOSUL - BR-392  _  Rio Grande - Pelotas;ECOSUL;BR-392  _  Rio Grande - Pelotas;DUPLA;CRESCENTE;064+980;Lado esquerdo;-31.76512138,-52.38284743;SARJETA-CANALETA-VALETA;;Dispositivo de concreto danificado|;;. LOCAL: Lado esquerdo;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=393436015&token=457529a3aa28aa9ca4b9020292cc5844;;;;;;;;;;;;REGULAR;;NÃO;;;;;;;;;;;-31.76523762,-52.38275512
308202240;2022-05-13;10:01:40;10:02:54;-31.7650287700000007 -52.3846332399999994;-31.7650287700000007;-52.3846332399999994;0 0;500 - RS2;REGISTRO;308202240;OPERAÇÃO;ECOSUL - BR-392  _  Rio Grande - Pelotas;ECOSUL;BR-392  _  Rio Grande - Pelotas;DUPLA;DECRESCENTE;065+200;;-31.76502534,-52.38417594;FRENTE DE CONSERVAÇÃO;;;roçada mecanizada;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=393436238&token=a5708100091490a0b1c42408526803c2;;;;;;;;;;;;REGULAR;;NÃO;;;;;;;;;;;-31.76504028,-52.38464429
308802923;2022-05-13;10:29:14;10:31:19;-31.7855840100000009 -52.3544023800000033;-31.7855840100000009;-52.3544023800000033;0 0;500 - RS2;REGISTRO;308202240;OPERAÇÃO;ECOSUL - BR-392  _  Rio Grande - Pelotas;ECOSUL;BR-392  _  Rio Grande - Pelotas;SIMPLES;DECRESCENTE;061+000;;-31.78546454,-52.35469899;FRENTE DE CONSERVAÇÃO;;;limpeza drenagem de plataforma meio fio;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=393436501&token=077fb2b5bb2a6055993299f804f44b98;;;;;;;;;;;;REGULAR;;NÃO;;;;;;;;;;;-31.7855493,-52.35442035
308585490;2022-05-13;10:37:58;10:42:15;-31.8069289200000007 -52.3254918299999972;-31.8069289200000007;-52.3254918299999972;0 0;500 - RS2;REGISTRO;308585490;ELEMENTOS DE PROTEÇÃO E SEGURANÇA;ECOSUL - BR-392  _  Rio Grande - Pelotas;ECOSUL;BR-392  _  Rio Grande - Pelotas;DUPLA;DECRESCENTE;057+400;Lado esquerdo;-31.80692892,-52.32549183;DEFENSAS;;Desalinhada|;fixação deficitaria poste soltos;. LOCAL: Lado esquerdo;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=393436777&token=c688229ef9840502765753ad3112d0c6;https://picviewer.umov.me/Pic/GetImage?id=393437108&token=42250865dcc8c3dcd17d5339eea9b31b;;;;;;;;;;;REGULAR;;NÃO;;;;;;;;;;;-31.806869,-52.3254531
308802924;2022-05-13;10:47:36;10:50:03;-31.8513862400000001 -52.3262035899999987;-31.8513862400000001;-52.3262035899999987;0 0;500 - RS2;REGISTRO;308202240;OPERAÇÃO;ECOSUL - BR-392  _  Rio Grande - Pelotas;ECOSUL;BR-392  _  Rio Grande - Pelotas;SIMPLES;DECRESCENTE;052+380;;-31.85136781,-52.32620644;OUTRO;Praça de Capão Seco;;operando;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=393437341&token=38b0c315e9d71551a30e42e74d04cb49;;;;;;;;;;;;REGULAR;;NÃO;;;;;;;;;;;-31.85439523,-52.32563048
308802926;2022-05-13;10:53:40;10:56:29;-31.8866275299999984 -52.3201547500000004;-31.8866275299999984;-52.3201547500000004;0 0;500 - RS2;REGISTRO;308202240;OPERAÇÃO;ECOSUL - BR-392  _  Rio Grande - Pelotas;ECOSUL;BR-392  _  Rio Grande - Pelotas;DUPLA;DECRESCENTE;048+000;Posto de pesagem veicular Capão Seco;-31.88661726,-52.32017628;BALANÇA;;Operando|;;. LOCAL: Posto de pesagem veicular Capão Seco;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=393437523&token=fe836762a55d26418a29aaf031feb499;https://picviewer.umov.me/Pic/GetImage?id=393437841&token=d54be3f64546f0756bd55ee6c5c43260;;;;;;;;;;;REGULAR;;NÃO;;;;;;;;;;;-31.89045496,-52.31945579
308585488;2022-05-13;14:36:54;14:39:58;-31.5669211400000016 -52.5425589299999984;-31.5669211400000016;-52.5425589299999984;0 0;500 - RS2;REGISTRO;308585488;TERRAPLENOS E CONTENÇÕES;ECOSUL - BR-392  _  Pelotas - Santana da Boa Vista;ECOSUL;BR-392  _  Pelotas - Santana da Boa Vista;SIMPLES;DECRESCENTE;095+200;;-31.56678706,-52.54243506;TALUDE CORTE;;Cobertura vegetal deficiente|Escorregamento|;;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=393438098&token=a417260221f5f0c3958befed4ae4fec4;;;;;;;;;;;;REGULAR;;NÃO;;;;;;;;;;;-31.56680055,-52.54249079
