DISCIPLINA;OCORRENCIA;PARÂMETRO DE DESEMPENHO (REDAÇÃO DO PER);ITEM PER;PRAZO PER;ITEM RESOLUÇÃO ANTT 4071/2013;PRAZO RESOLUÇÃO
DRENAGEM OAC;BUEIRO;;3.1.4;;;
DRENAGEM OAC;CAIXA;;3.1.4;;;
DRENAGEM OAC;DESCIDA D'ÁGUA;;3.1.4;;;
DRENAGEM OAC;DISSIPADOR DE ENERGIA;;3.1.4;;;
DRENAGEM OAC;MEIO FIO;;3.1.4;;;
DRENAGEM OAC;SARJETA-CANALETA-VALETA;;3.1.4;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;CCO's - CENTRO DE CONTROLE OPERACIONAL;;3.4.1;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;DELEGACIA DA PRF;;3.4.12;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;POSTO DE FISCALIZAÇÃO DA ANTT;;3.1.7;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;POSTO DE PESAGEM - BALANÇA;;3.4.7;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;PRAÇA DE PEDÁGIO;;3.4.4;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;SAU - SERVIÇO DE ATENDIMENTO AO USUÁRIO;;3.4.5 ;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;SEDE ADMINISTRATIVA;;3.1.7;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;BASES OPERACIONAIS DE ATENDIMENTO DE EMERGÊNCIA;;3.1.7;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;BSO - BASES OPERACIONAIS;;3.1.7;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;BALIZADORES REFLEXIVOS;;3.1.2;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;BARREIRA RÍGIDA;;3.1.2;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;DEFENSAS;;3.1.2;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;DISPOSITIVO ANTI-OFUSCANTE;;3.1.2;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;ACESSO IRREGULAR;;3.1.6;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;CERCA;;3.1.6;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;COMPROMETIMENTO DA FLUIDEZ DO TRÁFEGO;;3.1.6;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;OBRA DE TERCEIROS;;3.1.6;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;OCUPAÇÃO ILEGAL;;3.1.6;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;PARADAS DE ÔNIBUS;;3.1.6;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;PUBLICIDADE - CANTEIRO CENTRAL;;3.1.6;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;PUBLICIDADE - FAIXA DE DOMÍNIO;;3.1.6;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;VEGETAÇÃO - CANTEIRO CENTRAL;;3.1.6;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;VEGETAÇÃO - FAIXA DE DOMÍNIO;;3.1.6;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;FAIXA DE DOMÍNIO;;3.1.6;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;CANTEIRO CENTRAL;;3.1.6;;;
INTERSEÇÕES, ACESSOS E RETORNOS;ACESSO;;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;CRUZAMENTO RODOFERROVIÁRIO;;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;INTERSEÇÃO - TREVO;;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;RETORNO;;;;;
OBRA;OBRA;;;;;
OBRA;FRENTE DE RECUPERAÇÃO E MANUTENÇÃO;;;;;
OBRA;FRENTE DE CONSERVAÇÃO;;;;;
