;;;;
;OCORRENCIA;;;
Disciplina;Acúmulo de vegetação;;;
DRENAGEM OAC;Amassada;;;
SINALIZAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
OPERAÇÃO;;;;
OPERAÇÃO;Desalinhada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Cobertura vegetal deficiente;;;
TERRAPLENOS E CONTENÇÕES;Película deficiente;;;
SINALIZAÇÃO;Película deficiente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Película deficiente;;;
SINALIZAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Altura superior a 30 cm;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OPERAÇÃO;;;;
