T24964;01/07/2022;15:15:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tarefas Código do Atendimento;Data Inicio Execucao Atividade Gerada Pelo Sistema;Hora Inicio Execucao Atividade Gerada Pelo Sistema;Hora Fim Execucao Atividade Gerada Pelo Sistema;Execução de Atendimentos GPS Coletado;Execução de Atendimentos Latitude;Execução de Atendimentos Longitude;Cliente GPS Coletado;Entregador Nome;Seção Descrição;Codigo_de_registro;Disciplina;CONCESSIONARIA__TRECHO;Concessionaria;Trecho;PISTA;SENTIDO_;km_000000_ou_000000_ao_000000;LOCAL;Coordenada_;ELEMENTO;DESCREVA_O_ELEMENTO;OCORRENCIA;OUTRAS_OCORRENCIAS;OBSERVACAO;AUDIO;RETORNO_A_OCORRENCIA;MES;A_OCORRENCIA_FOI_ATENDIDA_;Imagem_1;Imagem_2;Imagem_3;Imagem_4;Imagem_5;Imagem_6;Imagem_7;Imagem_8;Imagem_9;Imagem_10;Imagem_11;Imagem_12;ESTADO_GERAL;TEMPO_DE_FILA_APROXIMADO;Deseja_caracterizar_esse_registro_como_uma_ocorrencia_relevante;NOME_DA_OBRA;PERCENTUAL_MENSAL_DE_EXECUCAO_FISICA_;PERCENTUAL_ACUMULADO_DE_EXECUCAO_FISICA_;CUMPRIMENTO_DO_PLANO_DE_TRABALHO_ACEITO_PELA_ANTT;ATENDIMENTO_AO_PROJETO_EXECUTIVO_ACEITO_PELA_ANTT;ATENDIMENTO_AO_PER;SINALIZACAO_DE_OBRA;ATRASOS;OBRA_CONCLUIDA;COMPRIMENTO_APROXIMADO_DA_FILA_m;COORDENADA_FINAL
308202280;17/05/2022;18:55:33;18:57:49;-27.9350533333333324 -48.6629683333333389;-279.350.533.333.333.000;-486.629.683.333.333.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;248+800 ao 250+000;;-27.935015,-48.66296666666667;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394760771&token=abe7a3dfe98b3d92cfb179571431054e;https://picviewer.umov.me/Pic/GetImage?id=394761099&token=bf98c34629273186ee9d57bf1ee13d85;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500129;17/05/2022;19:11:09;19:12:09;-27.9575483333333388 -48.6774099999999947;-279.575.483.333.333.000;-486.774.099.999.999.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;251+000 ao 252+000;;-27.957561666666667,-48.67739666666667;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394761638&token=0ec28d62e180e08ed78ec47943fff3fc;https://picviewer.umov.me/Pic/GetImage?id=394762180&token=4ec053ba9e68c853a8312c6ed85d68f6;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500130;17/05/2022;19:25:51;19:26:32;-27.9993166666666653 -48.6918633333333375;-279.993.166.666.666.000;-486.918.633.333.333.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;257+000 ao 257+300;;-27.99932833333333,-48.69193666666667;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394762710&token=2eb22c6cc9e4a712c217b5ff261527d6;;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500131;17/05/2022;19:53:07;19:54:12;-28.092028333333328 -48.7098549999999975;-28.092.028.333.333.300;-487.098.549.999.999.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;267+800 ao 268+500;;-28.09156666666667,-48.710114999999995;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394763228&token=c4fd1b85cce0f58ca8278192ca41d453;https://picviewer.umov.me/Pic/GetImage?id=394763679&token=3c5ef2323484f246aed1bfbc129f8cfa;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500132;17/05/2022;19:54:35;19:56:23;-28.0936133333333302 -48.7077200000000019;-280.936.133.333.333.000;-487.077.200.000.000.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;268+700 ao 270+000;;-28.093045,-48.70842;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394764044&token=463160eacc0ff1d62538396f225b623e;https://picviewer.umov.me/Pic/GetImage?id=394764518&token=d01e3b9c85a3c66bc4661006159fdf2f;https://picviewer.umov.me/Pic/GetImage?id=394764973&token=490f15e7fe5966ad495e2dd21f256df9;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500133;17/05/2022;19:57:11;19:58:53;-28.1147666666666645 -48.7005400000000037;-281.147.666.666.666.000;-487.005.400.000.000.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;271+000 ao 272+000;;-28.114738333333335,-48.70055666666667;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394765411&token=9ab3032512feef1d989dbb95cfe995e6;https://picviewer.umov.me/Pic/GetImage?id=394765903&token=3e0a48deba50b420a99131d119316441;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500134;17/05/2022;20:07:54;20:08:51;-28.2205750000000002 -48.7005116666666709;-282.205.750.000.000.000;-487.005.116.666.666.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;282+800 ao 283+200;;-28.220278333333333,-48.700545;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394766474&token=05a871acabbce1a7e679af6598480718;;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
304892548;17/05/2022;20:09:21;20:12:25;-28.2319783333333376 -48.7019299999999902;-282.319.783.333.333.000;-487.019.299.999.999.000;0 0;500 - SC2;REGISTRO;304892548;SISTEMA ELÉTRICO E DE ILUMINAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;284+200 ao 284+550;;-28.232036666666666,-48.70192;ILUMINAÇÃO;;Apagada?Mau funcionamento?;;;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394766872&token=aca74c2cc3d3e555c0ef05ac95e0fb80;https://picviewer.umov.me/Pic/GetImage?id=394767347&token=8b82942b84adf92c4662c85653dab292;https://picviewer.umov.me/Pic/GetImage?id=394767810&token=82f077b080c04c9825f26e24a86e61e1;https://picviewer.umov.me/Pic/GetImage?id=394768304&token=616a2b72ee8075a325b1752c48e150cb;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500135;17/05/2022;20:12:29;20:14:23;-28.2371183333333349 -48.6997750000000025;-282.371.183.333.333.000;-486.997.750.000.000.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;284+700 ao 286+000;;-28.233443333333337,-48.70156999999999;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394768727&token=74a1b8b8cae686db7528c8a251ebe4ab;https://picviewer.umov.me/Pic/GetImage?id=394769216&token=d8a7a53ba7e83e1154584df22ec89148;https://picviewer.umov.me/Pic/GetImage?id=394769741&token=28130f9d86b1ac2a83f7f91213afb624;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
309500137;17/05/2022;20:15:24;20:16:39;-28.2596083333333361 -48.7045783333333304;-282.596.083.333.333.000;-487.045.783.333.333.000;0 0;500 - SC2;REGISTRO;308202280;SINALIZAÇÃO;CCR ViaCosteira - BR-101;CCR ViaCosteira;BR-101;DUPLA;CRESCENTE;287+200 ao 288+200;;-28.25843166666667,-48.70422833333334;SINALIZAÇÃO HORIZONTAL - TACHAS;;Ausente?;;Eixo e bordo direito;;NÃO;;;https://picviewer.umov.me/Pic/GetImage?id=394770207&token=623eb86ce749636059ceee3fc887839e;https://picviewer.umov.me/Pic/GetImage?id=394770828&token=34916119555e129186dc84f436097df7;;;;;;;;;;;RUIM;;NÃO;;;;;;;;;;;
